1.499999999999999944e-01,2.954923000000000000e+06,2.035447248272981197e+19,2.035468852613806899e+19,-2.160434082570240000e+14
2.899999999999999800e-01,3.886395000000000000e+06,2.035396743077827789e+19,2.035448272595337626e+19,-5.152951750983680000e+14
4.000000000000000222e-01,3.440211000000000000e+06,2.035292666586803405e+19,2.035360795532167578e+19,-6.812894536417280000e+14
4.600000000000000200e-01,4.205230000000000000e+06,2.035229972268617728e+19,2.035263460834068070e+19,-3.348856545034240000e+14
5.100000000000000089e-01,3.677928000000000000e+06,2.035170466188058214e+19,2.035209078934348595e+19,-3.861274629038080000e+14
5.400000000000000355e-01,5.175963000000000000e+06,2.035133829726895718e+19,2.035200022199268966e+19,-6.619247237324800000e+14
5.999999999999999778e-01,1.560081000000000000e+06,2.035012827781104435e+19,2.035018218741520794e+19,-5.390960416358400000e+13
6.300000000000000044e-01,7.280916000000000000e+06,2.034899942315098112e+19,2.034964155669494170e+19,-6.421335439605760000e+14
6.400000000000000133e-01,3.139194000000000000e+06,2.035015015582265344e+19,2.035074303927004365e+19,-5.928834473902080000e+14
6.899999999999999467e-01,2.760685000000000000e+06,2.034919058997210317e+19,2.034931386027502387e+19,-1.232703029207040000e+14
6.999999999999999556e-01,5.321878000000000000e+06,2.034909757215566643e+19,2.034942761443099443e+19,-3.300422753280000000e+14
7.399999999999999911e-01,8.654548000000000000e+06,2.034631070394444595e+19,2.034674829442530509e+19,-4.375904808591360000e+14
7.600000000000000089e-01,4.609682000000000000e+06,2.034695751352610406e+19,2.034754862676225229e+19,-5.911132361482240000e+14
7.900000000000000355e-01,2.200776000000000000e+06,2.034701188067444326e+19,2.034724314971294106e+19,-2.312690384977920000e+14
7.900000000000000355e-01,2.640377000000000000e+06,2.034701866974575411e+19,2.034797128757525709e+19,-9.526178295029760000e+14
8.299999999999999600e-01,7.593133000000000000e+06,2.034535543432869888e+19,2.034599026758464307e+19,-6.348332559441920000e+14
8.499999999999999778e-01,2.450186000000000000e+06,2.034520883613149184e+19,2.034559288585024307e+19,-3.840497187512320000e+14
8.599999999999999867e-01,4.167483000000000000e+06,2.034492185641062810e+19,2.034522333018789478e+19,-3.014737772666880000e+14
8.800000000000000044e-01,2.098892000000000000e+06,2.034468831133138944e+19,2.034497789938647040e+19,-2.895880550809600000e+14
9.000000000000000222e-01,8.939808000000000000e+06,2.034401540683335680e+19,2.034446869357645824e+19,-4.532867431014400000e+14
9.200000000000000400e-01,5.864477000000000000e+06,2.034344741124109926e+19,2.034417019876801741e+19,-7.227875269181440000e+14
9.499999999999999556e-01,6.598244000000000000e+06,2.034308930352004710e+19,2.034346364883547750e+19,-3.743453154304000000e+14
9.599999999999999645e-01,4.849305000000000000e+06,2.034323723277006848e+19,2.034366241638422118e+19,-4.251836141527040000e+14
9.799999999999999822e-01,1.710386000000000000e+06,2.034229961072226714e+19,2.034265370375090995e+19,-3.540930286428160000e+14
1.000000000000000000e+00,6.285577000000000000e+06,2.034204840563172147e+19,2.034271446134081946e+19,-6.660557090979840000e+14
